YEAR;REST OF DATE;1ST ROW;HEADING [2ND ROW];3RD ROW;MILESTONE;TYPE;IMAGE URL;CTA 1;LINK 1;CTA 2;LINK 2;CTA 3;LINK 3
2007;08/08;;CCCamp;The Dyne.org village settles its tents for the first time in the Chaos Computer Camp together with Servus.at;0;;;;;;;;
2007;May;;Goodbye Privacy;"The ""goobye privacy"" symposium takes place in the Ars Electronica Festival, curated by Armin Medosh. Jaromil delivers a speech about piracy, privacy and thought control, in memory of Toni Onuoha.";0;;;;https://noemalab.eu/memo/events/goodbye-privacy-ars-electronica-2007/;;;;
;;;;;;;;;;;;;
2008;12/06;;Hackerspace festival;The first hackerspace festival is hosted by tmp/lab in Paris, with the partecipation of Dyne.org;;;;;http://hackerspaces.org;;;;
2008;11/08;;House of Natural Fibers;The Indonesian collective House of Natural Fibers (HONF) organizes the Yogyakarta International Media art festival, hosting Dyne.org hackers into the program. This is the beginning of a long friendship and exchange with Indonesian hackers.;;;;;;;;;
;;;;;;;;;;;;;
2009;January;;Vilém Flusser Award;Jaromil is awarded with the Vilém Flusser prize together with theorist Brian Holmes, while leading the R&D of Montevideo / Time Based Arts artlab.;0;;;;;;;;
2009;02/03;;Wintercamp;The Dyne.org crew at large has a possibility to gather at the Wintercamp in Amsterdam, organized by the Institute of Network Cultures. This is the first time international hackers from the dyne.org network can travel from all over the world to meet together in one place.;;;;;https://networkcultures.org/wintercamp/2009/03/08/opening-eyes-and-earlids/;;;;
2009;13/08;;HAR2009;The Dyne.org village is established during the Hacking at Random international hacker camp in Holland. Cecile Landman, Jo van der Spek and Jaromil deliver a presentation about Streamtime.org together with members of the Iraqi Linux User Group.;;;;;;;;;
2009;03/10;;Free Culture Forum;Dyne.org crew participates and contributes to the first Free Culture Forum in Barcelona (FCForum) The forum will take place for the following years until the final of a charter for citizens' and artists' rights in the digital age.;0;;;;https://fcforum.net/en/;;;;
2009;18/12;;Verdebinario;The MIAI, Interactive Museum of Industrial Archeology, is born in Cosenza and joins our network of computer musea.;;;;;https://verdebinario.org;;;;
;;;;;;;;;;;;;
2010;April;;DYNDY;Dyndy.net is launched as an observatory on alternative and complementary currencies.;0;;;;https://dyndy.net;;;;
2010;24/07;;GHM;10 years of history of Dyne.org are presented along with reflections on our experience for the GNU hackers meeting in Den Haag, hosted by rev.space;;;;;https://www.gnu.org/ghm/2010/denhaag/;;;;
2010;05/11;;FSCONS;Dyne.org presents for the first time a lecture on Permaculture and Free Software design at the Free Society Conference and Nordic Summit. This marks the beginning of a research track on urban regeneration focusing on design patterns between permaculture and open source.;;;;;https://fsfe.org/events/fscons-2010.en.html;;;;
;;;;;;;;;;;;;
2011;;;Tomb 1.0;The first stable release of Tomb 1.0 is announced.;0;software;;;https://tomb.dyne.org;;;;
2011;August;;CCCamp;The tends of the Dyne.org village are settled at the Chaos Computer Camp. Jaromil and Radium deliver a speech about the Crypto Commons, the ascent and future of Bitcoin, alternative and complementary currencies;;;File:Jaromil Chaos Communication Camp 2011.jpg - Wikimedia Commons;;https://fahrplan.events.ccc.de/camp/2011/Fahrplan/events/4450.en.html;;;;
2011;22/09;;dyne:bolic v3;"Version 3 of the 100% free operating system dyne:bolic is released, with codename ""MUNIR""";0;software;;;https://dynebolic.org;;;;
;;;;;;;;;;;;;
2012;February;;ZShaolin;The Android software ZShaolin is released, allowing people to run a fully featured terminal on any Android device, without routing.;;software;;;;;;;
;;;;;;;;;;;;;
2013;13/09;;40under40;CTO and co-founder Jaromil is awarded a fellowship in the 40 under 40 program for young European leaders.;;;;;;;;;
2013;;;Constitution of the European Pirate Party;We proudly support the Constitution of the European Pirate Party, the first international party of modern Europe. Jaromil is among the 8 pirates who signed its constitution in Luxemburg.;0;;;;;;;;
2013;August;;Yurt.in;The Yurt project is erected in RuralHub, hosting a densely participated summer school in the south of Italy;;;;;;;;;
;;;;;;;;;;;;;
2014;;;MO20;The Metro Olografix cultural association for telematic cultures is now 20 years old!;;;;;;;;;
2014;November;;Devuan;"The development of a fork of Debian is announced by an anonymous group of ""Veteran UNIX Admins"". With the support of Dyne.org the distribution established a fork to provide users with a minimalist GNU+Linux distribution to free users from the entangling web of dependencies in Debian's systemd adoption.";0;;;;https://devuan.org;;;;
2014;26/11;;Tomb 2.0;Tomb the crypto undertaker software gets a whole refactoring and new features, reaching release version 2.0;;software;;;;;;;
;;;;;;;;;;;;;
2015;16/08;;CCCamp;The Dyne.org village once again settles its tent at the Chaos Computer Camp, sharing its space with the newborn Idiopolis village.;;;;;;;;;
2015;;;Freecoin 2015.09;The new software Freecoin is announced, developed to provide a social wallet capable of running complementary currency transaction over multiple blockchains.;;;;;http://freecoin.ch;;;;
2015;;;Bitcoin documentary video (2015) “Ulterior States”;The first documentary about Bitcoin and the crypto scene comes out featuring the earliest protagonists of the movement, including Jaromil, Vinay Gupta and many others.;0;;;;https://www.youtube.com/watch?v=yQGQXy0RIIo;;;;
2015;;;Apertura Dyne Office;;;;;;;;;;
2015;;;#CCCamp2015;Lecture Jaromil;0;;;;;;;;
2015;;;Robin Hood;;;;;;;;;;
2015;;;STARTS-EU;The STARTS-EU project begins with a series of keynotes including Jaromil and Laura Beloff at BOZAR in BXL ;0;;;;https://starts.eu/;;;;
;;;;;;;;;;;;;
2016;;;Festival DRIFT;Jaromil delivers a lecture about Bitcoin and Algorithmic Sovereignty at the Philosophy Festival held by the Vlaams Cultural Institute in Amsterdam;;;;;https://twitter.com/festivaldrift;;;;
2016;;;D–CENT;D-CENT project final event ;;;;;https://dcentproject.eu/;;;;
2016;;;#MOCA2016 Pescara Abruzzo;;;;;;;;;;
2016;;;Launch of the Commonfare project on Poverty, Income and Employement in Europe;The start of the COMMONFARE project with a cooperation between Italy, Netherlands and Croatia.;;;;;https://commonfare.net;;;;
2016;;;DATA PORTRAITS by Jaromil Rojo;Premiere on display at #OBA public library in #Amsterdam for the exhibion DATA AESTHETICS (140ct-13Nov);0;;;;;;;;
2016;;;The Data Prevention Manifesto;;;;;;https://dataprevention.net/;;;;
;;;;;;;;;;;;;
2017;;;DECODE Project launch;"The flagship EU project DECODE provides tools that put individuals in control of whether they keep their personal data private or share it for the public good

";;;;;https://decodeproject.eu;;;;
2017;;;Dowse at transmediale;;;;;;;;;;
2017;;;Devuan at at #FSCONS;;0;;;;;;;;
2017;;;#Enschede;Jaromil lecture on the history of the Cyberpunk movement at GOGBOT festival;;;;;;;;;
2017;;;Tech Festival Lecture;;;;;;https://itu.dk/;;;;
2017;;; #thingsconams!;DOWSE Workshop held at ThingCon IoT Community conference in Amsterdam;;;;;https://www.dowse.eu/;;;;
2017;;;The Data Portraits by Jaromil;DATA PORTRAITS exhibited at the MACRO Museum in Rome and featured on RAI national TV educational channel;0;;;;https://fotonicafestival.com/en/editions/2018-rome/location/ | https://www.raiplay.it/video/2018/02/Denis-Jaromil-Rojo-Data-Portaits-Dal-digitale-allanalogico-1ed2d452-a07f-4bc4-992d-fed51ed35c8e.html;;;;
;;;;;;;;;;;;;
2018;;;First AlgoSov workshop;At Tech Festival in Copenhagen is held the first Algorithmic Sovereignty workshop. Jaromil publishes his doctoral dissertation at University Plymouth, which is today the most viewed research thesis of all times in the Public University Archive.;0;;;;https://algosov.org/;;;;
2018;;;DECODE project is featured at the #ICT2018 event in Vienna;;;;;;https://decodeproject.eu;;;;
2018;;;Cybersecurity EU TV show;Cryptome features an episode of the European TV Channel about Cybersecurity and IoT with Jaromil and colleagues of Radically Open Security;;;;;https://www.youtube.com/watch?v=EmkVHuyl0d0;;;;
;;;;;;;;;;;;;
2019;;Dyne.org presents in Amsterdam the;LEDGER project;fund offering technical mentorship for the development of free and open source projects;0;;;Official website;https://ledgerproject.eu;;;;
;;;;;;;;;;;;;
2019;;Clusterduck and Dyne meet at ;Influencer Festival Barcellonaa;;0;;;Read the festival program;https://theinfluencers.org/en/2019/program;;;;
2020;;;A Vision of Europe;Jaromil joins an International all-star cast of thinkers, artists, and policy makers to draw a vision for a transparent, united, democratic Europe in this book, sharing the experience of Dyne.org as an alternative institution for the Commons.;0;;;See on Eris.Press;https://eris.press/A-Vision-for-Europe;;;;
